imageA,imageB,similarity
data\person341.jpg,data\person354.jpg,0.984375
data\person354.jpg,data\person367.jpg,0.96484375
data\person381.jpg,data\person407.jpg,0.96484375
data\person407.jpg,data\person471.jpg,0.9296875
data\person471.jpg,data\person483.jpg,0.96875
data\person3822.jpg,data\person3823.jpg,0.9921875
data\person3823.jpg,data\person3824.jpg,0.98046875
data\person3824.jpg,data\person3825.jpg,0.98828125
data\person3828.jpg,data\person3830.jpg,0.87109375
data\person3830.jpg,data\person3831.jpg,0.953125
data\person3831.jpg,data\person3832.jpg,0.91015625
data\person3835.jpg,data\person3836.jpg,0.94921875
data\person742.jpg,data\person754.jpg,0.9296875
data\person41.jpg,data\person5.jpg,0.875
data\person5.jpg,data\person50.jpg,0.8515625
data\person434.jpg,data\person447.jpg,0.96875
data\person447.jpg,data\person459.jpg,0.98828125
data\person495.jpg,data\person507.jpg,0.98046875
data\person519.jpg,data\person631.jpg,0.87890625
data\person631.jpg,data\person641.jpg,0.98046875
data\person641.jpg,data\person652.jpg,0.97265625
data\person542.jpg,data\person563.jpg,0.94921875
data\person563.jpg,data\person572.jpg,0.93359375
data\person572.jpg,data\person582.jpg,0.94140625
data\person582.jpg,data\person592.jpg,0.94140625
data\person603.jpg,data\person621.jpg,0.97265625
data\person663.jpg,data\person675.jpg,0.9296875
data\person675.jpg,data\person686.jpg,0.9453125
data\person696.jpg,data\person708.jpg,0.93359375
data\person765.jpg,data\person777.jpg,0.96484375
data\person844.jpg,data\person857.jpg,0.9296875
data\person857.jpg,data\person869.jpg,0.88671875
data\bus3559.jpg,data\bus3586.jpg,0.87890625
data\car3107.jpg,data\car3159.jpg,0.84765625
data\car3211.jpg,data\car3237.jpg,0.90625
data\person1.jpg,data\person5.jpg,0.87109375
data\person1005.jpg,data\person1038.jpg,0.921875
data\person1038.jpg,data\person1050.jpg,0.9765625
data\person1050.jpg,data\person972.jpg,0.8828125
data\person972.jpg,data\person983.jpg,0.96875
data\person983.jpg,data\person995.jpg,0.96484375
data\person105.jpg,data\person94.jpg,0.9453125
data\person117.jpg,data\person71.jpg,0.83984375
data\person71.jpg,data\person82.jpg,0.8984375
data\person13.jpg,data\person8.jpg,0.953125
data\person130.jpg,data\person183.jpg,0.89453125
data\person183.jpg,data\person196.jpg,0.9453125
data\person196.jpg,data\person208.jpg,0.9609375
data\person208.jpg,data\person221.jpg,0.953125
data\person143.jpg,data\person157.jpg,0.96484375
data\person18.jpg,data\person25.jpg,0.90234375
data\person25.jpg,data\person33.jpg,0.88671875
data\person33.jpg,data\person41.jpg,0.921875
data\person41.jpg,data\person50.jpg,0.9453125
data\person233.jpg,data\person247.jpg,0.94921875
data\person247.jpg,data\person286.jpg,0.9609375
data\person286.jpg,data\person315.jpg,0.96875
data\person274.jpg,data\person300.jpg,0.97265625
data\person300.jpg,data\person341.jpg,0.93359375
data\person341.jpg,data\person354.jpg,0.984375
data\person354.jpg,data\person367.jpg,0.96484375
data\person367.jpg,data\person407.jpg,0.9375
data\person3822.jpg,data\person3823.jpg,0.9921875
data\person3823.jpg,data\person3824.jpg,0.98046875
data\person3824.jpg,data\person3825.jpg,0.98828125
data\person3825.jpg,data\person3827.jpg,0.953125
data\person3827.jpg,data\person3829.jpg,0.90625
data\person3826.jpg,data\person3828.jpg,0.89453125
data\person3833.jpg,data\person3834.jpg,0.9296875
data\person420.jpg,data\person434.jpg,0.97265625
data\person434.jpg,data\person447.jpg,0.96875
data\person459.jpg,data\person471.jpg,0.98046875
data\person471.jpg,data\person483.jpg,0.96875
data\person483.jpg,data\person495.jpg,0.94140625
data\person495.jpg,data\person507.jpg,0.98046875
data\person507.jpg,data\person641.jpg,0.83203125
data\person641.jpg,data\person652.jpg,0.97265625
data\person519.jpg,data\person530.jpg,0.95703125
data\person542.jpg,data\person552.jpg,0.96875
data\person552.jpg,data\person563.jpg,0.94140625
data\person563.jpg,data\person572.jpg,0.93359375
data\person572.jpg,data\person592.jpg,0.96875
data\person592.jpg,data\person603.jpg,0.96484375
data\person582.jpg,data\person612.jpg,0.90625
data\person686.jpg,data\person696.jpg,0.88671875
data\person790.jpg,data\person805.jpg,0.94140625
data\person831.jpg,data\person844.jpg,0.87109375
data\person881.jpg,data\person893.jpg,0.98046875
data\person893.jpg,data\person919.jpg,0.93359375
data\person906.jpg,data\person932.jpg,0.93359375
data\person932.jpg,data\person947.jpg,0.9609375
data\person947.jpg,data\person960.jpg,0.96875
data\car2926.jpg,data\car3053.jpg,0.81640625
data\car3053.jpg,data\car3107.jpg,0.9140625
data\car3132.jpg,data\car3159.jpg,0.85546875
data\person1005.jpg,data\person1027.jpg,0.9375
data\person1027.jpg,data\person1038.jpg,0.953125
data\person1016.jpg,data\person1050.jpg,0.859375
data\person105.jpg,data\person94.jpg,0.9453125
data\person117.jpg,data\person143.jpg,0.8828125
data\person143.jpg,data\person157.jpg,0.96484375
data\person157.jpg,data\person170.jpg,0.921875
data\person13.jpg,data\person50.jpg,0.87109375
data\person196.jpg,data\person208.jpg,0.9609375
data\person208.jpg,data\person221.jpg,0.953125
data\person221.jpg,data\person233.jpg,0.94140625
data\person233.jpg,data\person247.jpg,0.94921875
data\person247.jpg,data\person274.jpg,0.95703125
data\person274.jpg,data\person286.jpg,0.97265625
data\person286.jpg,data\person300.jpg,0.9609375
data\person300.jpg,data\person315.jpg,0.9609375
data\person315.jpg,data\person328.jpg,0.9375
data\person328.jpg,data\person341.jpg,0.94140625
data\person341.jpg,data\person354.jpg,0.984375
data\person381.jpg,data\person393.jpg,0.94921875
data\person393.jpg,data\person407.jpg,0.9453125
data\person3822.jpg,data\person3823.jpg,0.9921875
data\person3823.jpg,data\person3824.jpg,0.98046875
data\person3824.jpg,data\person3825.jpg,0.98828125
data\person3825.jpg,data\person3833.jpg,0.8359375
data\person3828.jpg,data\person3829.jpg,0.94921875
data\person3830.jpg,data\person3831.jpg,0.953125
data\person3831.jpg,data\person3832.jpg,0.91015625
data\person3835.jpg,data\person3836.jpg,0.94921875
data\person420.jpg,data\person459.jpg,0.953125
data\person434.jpg,data\person471.jpg,0.9765625
data\person471.jpg,data\person483.jpg,0.96875
data\person483.jpg,data\person519.jpg,0.90234375
data\person519.jpg,data\person582.jpg,0.90234375
data\person530.jpg,data\person542.jpg,0.91796875
data\person542.jpg,data\person552.jpg,0.96875
data\person552.jpg,data\person563.jpg,0.94140625
data\person563.jpg,data\person572.jpg,0.93359375
data\person572.jpg,data\person592.jpg,0.96875
data\person592.jpg,data\person603.jpg,0.96484375
data\person603.jpg,data\person621.jpg,0.97265625
data\person621.jpg,data\person631.jpg,0.95703125
data\person631.jpg,data\person641.jpg,0.98046875
data\person641.jpg,data\person652.jpg,0.97265625
data\person60.jpg,data\person71.jpg,0.96484375
data\person742.jpg,data\person754.jpg,0.9296875
data\person857.jpg,data\person869.jpg,0.88671875
data\person893.jpg,data\person906.jpg,0.97265625
data\person906.jpg,data\person919.jpg,0.9140625
data\person947.jpg,data\person960.jpg,0.96875
data\car3053.jpg,data\car3080.jpg,0.94140625
data\car3211.jpg,data\car3237.jpg,0.90625
data\car3237.jpg,data\car3264.jpg,0.89453125
data\car3264.jpg,data\car3290.jpg,0.875
data\person1005.jpg,data\person1016.jpg,0.921875
data\person1016.jpg,data\person983.jpg,0.8984375
data\person983.jpg,data\person995.jpg,0.96484375
data\person1027.jpg,data\person1038.jpg,0.953125
data\person105.jpg,data\person82.jpg,0.93359375
data\person82.jpg,data\person94.jpg,0.90234375
data\person13.jpg,data\person33.jpg,0.83984375
data\person552.jpg,data\person582.jpg,0.87109375
data\person582.jpg,data\person652.jpg,0.8984375
data\person143.jpg,data\person157.jpg,0.96484375
data\person157.jpg,data\person170.jpg,0.921875
data\person170.jpg,data\person183.jpg,0.953125
data\person18.jpg,data\person25.jpg,0.90234375
data\person196.jpg,data\person208.jpg,0.9609375
data\person221.jpg,data\person233.jpg,0.94140625
data\person233.jpg,data\person247.jpg,0.94921875
data\person274.jpg,data\person286.jpg,0.97265625
data\person286.jpg,data\person300.jpg,0.9609375
data\person300.jpg,data\person315.jpg,0.9609375
data\person315.jpg,data\person341.jpg,0.94140625
data\person341.jpg,data\person354.jpg,0.984375
data\person354.jpg,data\person367.jpg,0.96484375
data\person367.jpg,data\person381.jpg,0.93359375
data\person381.jpg,data\person393.jpg,0.94921875
data\person393.jpg,data\person407.jpg,0.9453125
data\person407.jpg,data\person420.jpg,0.93359375
data\person3822.jpg,data\person3823.jpg,0.9921875
data\person3823.jpg,data\person3825.jpg,0.9921875
data\person3825.jpg,data\person3827.jpg,0.953125
data\person3824.jpg,data\person3826.jpg,0.94921875
data\person3829.jpg,data\person3832.jpg,0.87109375
data\person3830.jpg,data\person3831.jpg,0.953125
data\person3835.jpg,data\person3836.jpg,0.94921875
data\person41.jpg,data\person50.jpg,0.9453125
